Data      Horas Trabalhadas    Tipo Tarefa                                          Descrição da Tarefa Realizada

18/04     2h                   codificar módulo                                     Inicio da codificação do módulo Lisca Circular
19/04     1h                   codificar módulo                                     Fim da codificação inicial do módulo Lista Circular
19/04     0.5h                 estudar                                              Analisar exemplos do arcabouço
19/04     0.5h                 estudar                                              Redigir exemplo de módulo de controle de testes para auxiliar no entendimento
20/04     1.5h                 codificar módulo                                     Inicio do módulo de controle de testes para Lista Circular
20/04     0.5h                 redigir script de teste                              Script de teste inicial para Lista Circular
21/04     1h                   revisar código do módulo                             Revisão do módulo Lista Circular
21/04     1h                   codificar módulo                                     Finalização do módulo de controle de testes para Lista Circular
21/04     0.5h                 revisar script de teste                              Abrangir mais casos no script de teste
23/04     1h                   diagnosticar e corrigir os problemas encontrados     Correções no Módulo Lista Circular
23/04     1h                   revisar código do módulo                             Implementação de assertivas no módulo Lista Circular
01/05     2h                   revisar código do módulo                             Modificação e documentação do módulo Lista Circular
01/05     0.5h                 estudar                                              Estudo das regras de documentação
03/05     1h                   codificar módulo                                     Início da codificação do módulo Tabuleiro
04/05     3h		           codificar módulo                                     Avanço na codificação do módulo Tabuleiro
06/05 	  2.5h                 revisar código do módulo                             Reestrututar o módulo lista circular	
07/05     2h                   revisar código do módulo								Revisar o módulo de teste de lista circular
07/05     0.5h                 redigir script de teste                              Revisão dos scripts de teste para Circular
07/05     1h                   diagnosticar e corrigir os problemas encontrados     Correção do módulo circular                 
08/05	  0.5h                 codificar módulo                                     Continuação da codificação do módulo tabuleiro
09/05     2h                   revisar código do módulo                             Revisão do módulo de testes para lista circular
10/05     2h                   revisar código do módulo                             Correção de bugs no módulo de testes para lista circular
10/05     0.5h                 diagnosticar e corrigir os problemas encontrados     Correções no módulo Lista Circular
